cost_center,cust_loc,brand,zip,lat,lon,loc_name,sum_promo_sales
,00000001 0915,Orkin Franchise,75501,33.414708,-94.08984,DEVILDOGG                          ,61.82
,00000004 0939,Orkin Franchise,95928,39.720955,-121.81888,AMS PC INC #939                    ,188.35
,00000008 0926,Orkin Franchise,75092,33.649938,-96.65387,CHRISTY JARESH INC (#926)          ,103.88
,00000009 0943,Orkin Franchise,36203,33.591301,-85.83571,IB ENTERPRISES  (#943)             ,345.25
,00000010 0901,Orkin Franchise,32303,30.486061,-84.31528,901 CAPITAL SOLUTIONS BIG BEND     ,21.59
,00000015 0942,Orkin Franchise,17111,40.264389,-76.80298,RATT INC - KUTZTOWN                ,291.94
,00000018 0927,Orkin Franchise,40701,36.942035,-84.10685,HELTACO INC (#927)                 ,135.51
,00000019 0977,Orkin Franchise,47404,39.188246,-86.56779,HILGER ENTERPRISES INC (#977)      ,243.4
,00000023 0902,Orkin Franchise,30607,34.013154,-83.43565,BITES PEST SOLUTIONS (#902)        ,591.9
,00000027 0916,Orkin Franchise,70448,30.367119,-90.05999,JP&G INC (#916)                    ,64.73
,00000039 0957,Orkin Franchise,17111,40.264389,-76.80298,RATT INC (#957)                    ,337.35
,00000043 0911,Orkin Franchise,30117,33.588486,-85.1062,REDCO INC (#911)                   ,177.68
,00000044 0959,Orkin Franchise,39301,32.339004,-88.6596,RMKPC INC (#959)                   ,77.39
,00000048 0953,Orkin Franchise,36530,30.377657,-87.56159,GOODROW SOLUTIONS LLC (#953)       ,136
,00000052 0924,Orkin Franchise,30547,34.348822,-83.47738,BARKER'S BUGS INC (#924)           ,58.68
,00000058 0913,Orkin Franchise,83714,43.641774,-116.26507,SAWYER INC  (# 913)                ,838.24
,00000061 0908,Orkin Franchise,36693,30.630441,-88.15397,GOODROW INC  # 908                 ,230
,00000063 0001,Orkin Franchise,965,18.431453,-66.11703,GUARDSMAN GROUP                    ,907.05
,00000069 0932,Orkin Franchise,63012,38.337458,-90.42316,TSALD  LLC (FR 932)                ,242.68
,00000082 0987,Orkin Franchise,42103,36.969761,-86.38247,FR987 BOWLING GREEN KY TSALDDS LLC ,204.33
,00000100 0001,CC Franchise,49684,44.74136,-85.67316,CRITTER CONTROL                    ,20429.2
,00000100 0012,CC Franchise,49684,44.74136,-85.67316,CRITTER CONTROL OF RICHMOND        ,90
,00000100 7497,CC Franchise,49684,44.74136,-85.67316,CRITTER CONTROL OPERATIONS         ,74.03
,00000100 CCSW,CC Franchise,49684,44.74136,-85.67316,CRITTER CONRTOL OF SOUTHWEST FL    ,210.75
,00000125 0001,Orkin Franchise,30220,33.230734,-84.82543,WILSON'S PEST MANAGEMENT           ,398.8
,00000163 0001,Orkin Franchise,802,18.322285,-64.963715,GUARDSMAN SERVICES (PR) LLC        ,257.34
Rollins,00005985 0001,Rollins,30324,33.818304,-84.35779,ROLLINS SUPPLY                     ,5357.15
2,00005985 0002,rollins,30324,33.818304,-84.35779,PUBLIC REL & CORP COMM             ,255
89520,00005985 0003,Rollins,30324,33.818304,-84.35779,CUSTOMER EXPERIENCE                ,131
89370,00005985 0006,Rollins,30324,33.818304,-84.35779,RISK MANAGEMENT                    ,76.89
89360,00005985 0008,Rollins,30324,33.818304,-84.35779,BENEFITS ADMINSTRATION             ,505.44
89230,00005985 0010,Rollins,30324,33.818304,-84.35779,ROLLINS SUPPLY                     ,1250
88470,00005985 0012,Rollins,30324,33.818304,-84.35779,EXECUTIVE ADMIN                    ,1603.93
30021,00005985 0017,Rollins,30341,33.888102,-84.29321,RAC ADMIN                          ,271.25
89480,00005985 0020,Rollins,30324,33.818304,-84.35779,GOV'T REL/ENVIRO                   ,2083
89590,00005985 0021,Orkin,30324,33.818304,-84.35779,PC/TC QUALITY ASSURANCE            ,87.91
89750,00005985 0031,Orkin,30324,33.818304,-84.35779,FLEET                              ,97.41
89410,00005985 0032,Rollins,30324,33.818304,-84.35779,CORPORATE HR                       ,2007.81
89160,00005985 0038,Rollins,30324,33.818304,-84.35779,TELECOMMUNICATIONS                 ,267.43
89250,00005985 0046,Rollins,30324,33.818304,-84.35779,INTERNAL AUDIT                     ,128.34
89320,00005985 0048,Rollins,30324,33.818304,-84.35779,DESKTOP SERVICES                   ,92.28
89420,00005985 0049,Rollins,30324,33.818304,-84.35779,HRIS                               ,4007.6
89540,00005985 0051,Rollins,30324,33.818304,-84.35779,FINANCE                            ,109.89
89550,00005985 0052,Rollins,30324,33.818304,-84.35779,HUMAN RESOURCES SERV CTR           ,19189.53
89690,00005985 0055,Orkin,30324,33.818304,-84.35779,REAL ESTATE                        ,81.06
89460,00005985 0068,Rollins,30324,33.818304,-84.35779,LEGAL                              ,81.06
89720,00005985 0069,Orkin,30324,33.818304,-84.35779,FIELD ADMIN SUPPORT GROUP          ,483.28
88200,00005985 0071,Orkin,30324,33.818304,-84.35779,DUPLICATING                        ,5769
81,00005985 0081,Orkin,30324,33.818304,-84.35779,081 SOUTHEAST DIVISION             ,735
82,00005985 0082,Orkin,30324,33.818304,-84.35779,082 MIDWEST DIVISION               ,173.52
84,00005985 0084,Orkin,30324,33.818304,-84.35779,084 SOUTH CENTRAL DIVISION         ,4627.14
85,00005985 0085,Orkin,30324,33.818304,-84.35779,085 NORTHEAST DIVISION             ,3411.92
86,00005985 0086,Orkin,92503,33.91355,-117.46052,086 PACIFIC DIVISION               ,489.49
106,00005985 0106,Orkin,35244,33.356981,-86.81577,106 BIRMINGHAM                     ,808.89
112,00005985 0112,Orkin,35806,34.748066,-86.68317,112 HUNTSVILLE                     ,638.42
119,00005985 0119,Orkin,29687,34.935636,-82.32238,119 WEST CAROLINA REGION           ,398.2
128,00005985 0128,Orkin,33619,27.94605,-82.37525,128 BRANDON                        ,149.18
130,00005985 0130,Orkin,33634,28.005497,-82.54936,130 TAMPA                          ,3019.2
131,00005985 0131,Orkin,34669,28.348507,-82.61937,131 HUDSON                         ,944.65
132,00005985 0132,Orkin,32955,28.308581,-80.72558,132 COCOA                          ,1386.03
134,00005985 0134,Orkin,32839,28.489758,-81.40625,134 ORLANDO PC                     ,395.75
142,00005985 0142,Orkin,33711,27.750655,-82.6882,142 ST PETERSBURG                  ,924.72
144,00005985 0144,Orkin,34234,27.365622,-82.53556,144 SARASOTA                       ,495.19
146,00005985 0146,Orkin,34744,28.308979,-81.37594,149 KISSIMMEE                      ,560.43
148,00005985 0148,Orkin,33880,27.997276,-81.74554,148 WINTER HAVEN                   ,223.12
149,00005985 0149,Orkin,32714,28.663913,-81.41112,149 NORTH FLORIDA REGION           ,4680.36
151,00005985 0151,Orkin,30094,33.621906,-84.04633,151 CONYERS PC                     ,8299.83
152,00005985 0152,Orkin,30340,33.899381,-84.25367,152 CHAMBLEE TC                    ,434.94
157,00005985 0157,Orkin,93012,34.218756,-118.99213,157 VENTURA                        ,1039.15
158,00005985 0158,Orkin,30214,33.47875,-84.47668,158 FAYETTEVILLE                   ,384.75
160,00005985 0160,Orkin,30507,34.253714,-83.77348,160 GAINESVILLE                    ,578.05
164,00005985 0164,Orkin,30066,34.027533,-84.51475,164 MARIETTA                       ,278.54
165,00005985 0165,Orkin,30046,33.960353,-84.037859,165 LAWRENCEVILLE                  ,2776.19
166,00005985 0166,Orkin,30263,33.38779,-84.82536,166 NEWNAN                         ,95.49
168,00005985 0168,Orkin,30076,34.032532,-84.31774,168 ALPHARETTA                     ,555.13
169,00005985 0169,Orkin,30263,33.38779,-84.82536,169 GEORGIA REGION                 ,1389.94
174,00005985 0174,Orkin,71301,31.294532,-92.46015,174 ALEXANDRIA                     ,511.32
175,00005985 0175,Orkin,70435,30.53978,-90.07953,175 COVINGTON                      ,323.21
180,00005985 0180,Orkin,70615,30.239906,-93.14977,180 LAKE CHARLES                   ,355.43
182,00005985 0182,Orkin,71201,32.519393,-92.10755,182 MONROE                         ,826.06
184,00005985 0184,Orkin,71457,31.751287,-93.09021,184 NATCHITOCHES                   ,148.33
188,00005985 0188,Orkin,71105,32.457903,-93.7133,188 SHREVEPORT                     ,622.6
189,00005985 0189,Orkin,70087,29.962601,-90.30965,189 GULF STATES REGION             ,125.38
191,00005985 0191,Orkin,33014,25.902172,-80.30732,191 NORTH MIAMI                    ,1217.94
192,00005985 0192,Orkin,33186,25.662292,-80.40947,192 HOMESTEAD                      ,1883.09
194,00005985 0194,Orkin,33040,24.567593,-81.7566,194 KEY WEST                       ,235.57
196,00005985 0196,Orkin,33166,25.824725,-80.30476,196 MIAMI  PC                      ,1288.38
197,00005985 0197,Orkin,33009,25.987069,-80.15004,197 SOUTH BROWARD PC               ,478.53
199,00005985 0199,Orkin,33009,25.987069,-80.15004,199 SOUTH FLORIDA REGION           ,1860.73
200,00005985 0200,Orkin,30318,33.786805,-84.437,200 BUCKHEAD                       ,387.2
201,00005985 0201,Orkin,33009,25.987069,-80.15004,201 WEST BROWARD PC                ,132.96
202,00005985 0202,Orkin,30120,34.167327,-84.82764,202 HOLLY SPRINGS                  ,2185.94
204,00005985 0204,Orkin,38756,33.407212,-90.87866,204 LELAND                         ,63.8
205,00005985 0205,Orkin,73105,35.509659,-97.50211,205 OKLAHOMA PEST SOLUTIONS        ,1069.08
206,00005985 0206,Orkin,39503,30.461786,-89.10381,206 GULFPORT                       ,798.45
209,00005985 0209,Orkin,29483,33.034586,-80.18599,209 SUMMERVILLE                    ,1390.6
210,00005985 0210,Orkin,39232,32.311287,-90.397157,210 JACKSON                        ,1043.07
212,00005985 0212,Orkin,38672,34.943945,-89.92279,212 SOUTHAVEN MS                   ,343.26
216,00005985 0216,Orkin,38801,34.23615,-88.75665,216 TUPELO                         ,855.65
224,00005985 0224,Orkin,34470,29.198704,-82.10556,224 OCALA                          ,1506.2
226,00005985 0226,Orkin,32119,29.153239,-81.02229,226 SOUTH DAYTONA                  ,738.43
232,00005985 0232,Orkin,32514,30.527195,-87.21485,232 PENSACOLA                      ,2520.8
234,00005985 0234,Orkin,32246,30.296911,-81.52228,234  JACKSONVILLE                  ,888.56
235,00005985 0235,Orkin,32714,28.663913,-81.41112,235 ALTAMONTE SPRINGS              ,2831.21
242,00005985 0242,Orkin,30909,33.475936,-82.0697,242 AUGUSTA                        ,2610.39
250,00005985 0250,Orkin,31021,32.526359,-82.93375,250 DUBLIN                         ,185.33
252,00005985 0252,Orkin,31216,32.730641,-83.6793,252 MACON                          ,2383.51
254,00005985 0254,Orkin,31401,32.068658,-81.09258,254 SAVANNAH                       ,1159.49
258,00005985 0258,Orkin,31525,31.260995,-81.49832,258 BRUNSWICK                      ,205.19
260,00005985 0260,Western / Waltham,7052,40.78865,-74.25541,260 WEST ORANGE                    ,103.59
265,00005985 0265,Western / Waltham,10018,40.755101,-73.99337,265 NEW YORK                       ,103.59
266,00005985 0266,Western / Waltham,6851,41.134896,-73.4053,266 SOUTHERN CT                    ,168.52
267,00005985 0267,Western / Waltham,8540,40.357439,-74.64922,267 PRINCETON                      ,108
268,00005985 0268,Orkin,33444,26.460951,-80.07891,268 DELRAY BEACH                   ,745.41
269,00005985 0269,Western / Waltham,7054,40.860149,-74.4171,269 NY NORTHERN NJ REGION          ,80.89
272,00005985 0272,Orkin,33912,26.501582,-81.82841,272 FT MYERS                       ,1076.01
274,00005985 0274,Orkin,34982,27.393097,-80.3279,274 FT PIERCE                      ,171.02
275,00005985 0275,Orkin,34110,26.28828,-81.78726,275 NAPLES                         ,2935.73
276,00005985 0276,Orkin,33069,26.22876,-80.15816,276 NORTH BROWARD PC               ,749.91
278,00005985 0278,Orkin,33409,26.709575,-80.09443,278 WEST PALM BEACH                ,1112.51
280,00005985 0280,Orkin,70809,30.403341,-91.08035,280 BATON ROUGE                    ,731.86
286,00005985 0286,Orkin,70360,29.593377,-90.7475,286 HOUMA SLS/SVC                  ,1766.67
288,00005985 0288,Orkin,70583,30.244311,-92.10099,288 LAFAYETTE                      ,1181.13
291,00005985 0291,Orkin,92503,33.91355,-117.46052,291 S CA COMML SUPRT TEAM          ,1161.35
292,00005985 0292,Orkin,70087,29.962601,-90.30965,292 NEW ORLEANS TC                 ,4956.31
294,00005985 0294,Orkin,92503,33.91355,-117.46052,294 PACIFIC TC SUPPORT TEAM        ,176.9
302,00005985 0302,Orkin,20151,38.889111,-77.4363,302 ANNANDALE                      ,930.38
303,00005985 0303,Orkin,20877,39.13975,-77.18568,303 ROCKVILLE                      ,390.67
305,00005985 0305,Orkin,21030,39.477506,-76.64114,305 NORTH BALTIMORE                ,171.45
306,00005985 0306,Orkin,20147,39.041978,-77.49064,306 ASHBURN                        ,667.95
307,00005985 0307,Orkin,21076,39.167708,-76.71706,307 BALTIMORE                      ,337.75
308,00005985 0308,Orkin,19020,40.10386,-74.93734,308 PHILADELPHIA                   ,792.14
310,00005985 0310,Orkin,21801,38.369675,-75.61214,310 SALISBURY                      ,1026.84
311,00005985 0311,Orkin,7424,40.886628,-74.21405,311 NORTHERN NEW JERSEY            ,1564.76
312,00005985 0312,Orkin,20706,38.964093,-76.85331,312 DC TC                          ,558.9
313,00005985 0313,Orkin,10523,41.057089,-73.81658,313 ELMSFORD                       ,3329.03
314,00005985 0314,Orkin,19720,39.669219,-75.59003,314 WILMINGTON                     ,38.24
315,00005985 0315,Orkin,11101,40.745341,-73.93907,315 NEW YORK CITY ORKIN COMML      ,1574.72
316,00005985 0316,Orkin,17402,39.976898,-76.67785,316 YORK                           ,479.13
317,00005985 0317,Orkin,11040,40.742901,-73.67895,317 NEW HYDE PARK                  ,2507.89
318,00005985 0318,Orkin,8034,39.908613,-74.99951,318 SOUTHERN NEW JERSEY            ,1027.98
320,00005985 0320,Orkin,22405,38.317636,-77.43297,320 FREDERICKSBURG                 ,2546.59
321,00005985 0321,Orkin,21784,39.39667,-76.965,321 CARROLL COUNTY                 ,103.79
322,00005985 0322,Orkin,27713,35.905765,-78.92113,322 DURHAM                         ,308.89
323,00005985 0323,Orkin,20602,38.598185,-76.90381,323 WALDORF                        ,1851.45
326,00005985 0326,Orkin,28306,35.003712,-78.92179,326 FAYETTEVILLE                   ,1225.49
329,00005985 0329,Orkin,15317,40.26819,-80.16222,329 PENNSYLVANIA REGION            ,204.88
331,00005985 0331,Orkin,22079,38.695915,-77.20122,331 LORTON                         ,307.93
334,00005985 0334,Orkin,28562,35.091472,-77.09936,334 NEW BERN                       ,770.42
335,00005985 0335,Orkin,7728,40.241036,-74.27629,335 CENTRAL NEW JERSEY             ,1446.9
336,00005985 0336,Orkin,27603,35.716105,-78.65734,336 SOUTH RALEIGH                  ,417.62
339,00005985 0339,Orkin,60007,42.005978,-87.99847,339 MIDWEST COMMERCIAL REGION      ,265
342,00005985 0342,Orkin,28403,34.221512,-77.88452,342 WILMINGTON                     ,123.7
343,00005985 0343,Orkin,22030,38.846212,-77.32787,343 N VIRGINIA                     ,2648.75
344,00005985 0344,Orkin,27893,35.715315,-77.91989,344 WILSON                         ,196.07
345,00005985 0345,Orkin,7728,40.241036,-74.27629,345 NEW JERSEY COMMERCIAL          ,1683.8
350,00005985 0350,Orkin,28704,35.459869,-82.54142,350 ASHEVILLE                      ,513.09
351,00005985 0351,Orkin,20877,39.13975,-77.18568,351 DC METRO                       ,1489.89
352,00005985 0352,Orkin,37617,36.534729,-82.37229,352 BRISTOL                        ,901.97
356,00005985 0356,Orkin,38501,36.1832,-85.52054,356 COOKEVILLE                     ,1110.18
358,00005985 0358,Orkin,37932,35.919695,-84.17255,358 KNOXVILLE                      ,2620.04
360,00005985 0360,Orkin,37909,35.947846,-84.01554,360 KNOXVILLE                      ,1122.12
362,00005985 0362,Orkin,37801,35.709071,-84.05015,362 MARYVILLE                      ,199.01
36333,00005985 0363,HomeTeam,33830,27.894991,-81.82638,"HTS LAKELAND, FL BRANCH            ",67
369,00005985 0369,Orkin,3032,43.000345,-71.35141,369 NE REGION                      ,930.85
378,00005985 0378,Orkin,40510,38.064087,-84.60713,378 LEXINGTON                      ,1058.94
379,00005985 0379,Orkin,13502,43.114519,-75.22284,379 NEW YORK UPSTATE REGION        ,1392.4
380,00005985 0380,Orkin,40299,38.190568,-85.55348,380 N LOUISVILLE                   ,450.23
387,00005985 0387,Orkin,60659,41.991381,-87.70378,ORKIN NE CHICAGO/TECH-1            ,925.54
389,00005985 0389,Orkin,40510,38.064087,-84.60713,389 KENTUCKY REGION                ,1269.11
391,00005985 0391,Orkin,21093,39.435789,-76.63614,391 BALTIMORE                      ,1003.59
392,00005985 0392,Orkin,29625,34.532638,-82.71615,392 ANDERSON                       ,576.39
396,00005985 0396,Orkin,29406,32.918757,-80.0228,396 CHARLESTON                     ,728.74
397,00005985 0397,Orkin,30324,33.818304,-84.35779,OCCC ADMIN                         ,10193.16
398,00005985 0398,Orkin,29170,33.943251,-81.14142,398 COLUMBIA                       ,634.64
399,00005985 0399,Orkin,33634,28.005497,-82.54936,399 WEST FLORIDA REGION            ,34
401,00005985 0401,Orkin,95215,37.955474,-121.19064,401 NORTHWEST SALES                ,1797.55
402,00005985 0402,Orkin,29501,34.195705,-79.80977,402 FLORENCE                       ,763.45
404,00005985 0404,Orkin,29687,34.935636,-82.32238,404 GREENVILLE                     ,805.69
405,00005985 0405,Orkin,29910,32.241315,-80.87404,405 HILTON HEAD                    ,1011.14
406,00005985 0406,Orkin,29577,33.698101,-78.89604,406 MYRTLE BEACH                   ,239.03
409,00005985 0409,Orkin,37923,35.928997,-84.07543,409 TENNESSEE/ALABAMA REGION       ,162.56
410,00005985 0410,Orkin,29732,34.969427,-81.0509,410 ROCK HILL                      ,729.39
413,00005985 0413,Western / Waltham,8052,39.952212,-74.99464,413 MAPLE SHADE                    ,176.19
416,00005985 0416,Western / Waltham,19454,40.223524,-75.24731,416 SPRING HOUSE                   ,54
417,00005985 0417,Western / Waltham,19803,39.793962,-75.53401,417 WILMINGTON                     ,34.53
420,00005985 0420,Orkin,37421,35.028574,-85.15939,420 CHATTANOOGA                    ,25.52
421,00005985 0421,Orkin,94010,37.574936,-122.36332,ROLLINS SUPPLY                     ,3865.18
423,00005985 0423,Orkin,30324,33.818304,-84.35779,OCCC SALES - COVINGTON             ,1245
424,00005985 0424,Western / Waltham,8234,39.398172,-74.59667,424 ATLANTIC CITY                  ,86.42
426,00005985 0426,Western / Waltham,8210,39.081754,-74.83658,426 CAPE MAY                       ,373.27
427,00005985 0427,Orkin,37211,36.079259,-86.72584,427 NASHVILLE COMML                ,1572.22
429,00005985 0429,Orkin,29687,34.935636,-82.32238,429 SOUTH CAROLINA REGION          ,1500.91
431,00005985 0431,Orkin,37115,36.264069,-86.70566,431 MADISON                        ,1650.98
433,00005985 0433,Orkin,38133,35.208709,-89.80518,433 MEMPHIS                        ,1136.36
434,00005985 0434,Orkin,37130,35.860152,-86.3648,434 MURFREESBORO                   ,843.07
436,00005985 0436,Orkin,37211,36.079259,-86.72584,436 NASHVILLE                      ,2329.87
437,00005985 0437,Orkin,95131,37.38631,-121.88987,ROLLINS SUPPLY                     ,3440.95
438,00005985 0438,Orkin,94551,37.680181,-121.921498,ROLLINS SUPPLY                     ,3000.93
440,00005985 0440,Orkin,22801,38.426786,-78.88153,440 CHARLOTTESVILLE                ,1585.22
444,00005985 0444,Orkin,23606,37.078196,-76.49446,444 HAMPTON                        ,733.98
447,00005985 0447,Orkin,20109,38.790202,-77.51294,447 MANASSAS                       ,375.86
449,00005985 0449,Orkin,23005,37.754254,-77.47465,449 VIRGINIA REGION                ,109.3
450,00005985 0450,Orkin,94545,37.635582,-122.10418,ROLLINS SUPPLY                     ,955.66
451,00005985 0451,Orkin,23113,37.51338,-77.64165,451 BON AIR                        ,1398.54
453,00005985 0453,Orkin,23455,36.889797,-76.1426,453 PORTSMOUTH                     ,993.8
454,00005985 0454,Orkin,23005,37.754254,-77.47465,454 RICHMOND                       ,692.9
456,00005985 0456,Orkin,24019,37.341428,-79.95049,456 ROANOKE                        ,2173.66
457,00005985 0457,Orkin,23320,36.761698,-76.24511,457 CHESAPEAKE                     ,615.32
462,00005985 0462,Orkin,28269,35.329235,-80.80486,462 NORTH CHARLOTTE                ,468.09
464,00005985 0464,Orkin,28227,35.192919,-80.66822,464 CHARLOTTE                      ,361.14
467,00005985 0467,Orkin,27616,35.865441,-78.54929,467 NORTH RALEIGH                  ,364.68
470,00005985 0470,Orkin,27405,36.107499,-79.75242,470 GREENSBORO                     ,246.66
472,00005985 0472,Orkin,28602,35.70701,-81.3534,472 HICKORY                        ,2089.44
475,00005985 0475,Orkin,28734,35.185018,-83.39032,475 FRANKLIN                       ,1508.57
478,00005985 0478,Orkin,27103,36.066545,-80.30733,478 WINSTON-SALEM                  ,1610.5
480,00005985 0480,Orkin,15146,40.431034,-79.76526,480 NORTH PITTSBURGH               ,1142.64
481,00005985 0481,Orkin,15301,40.170663,-80.25185,481 SOUTH PITTSBURGH               ,239.45
484,00005985 0484,Orkin,25813,37.754656,-81.11304,484 BECKLEY                        ,82.27
486,00005985 0486,Orkin,25159,38.49008,-81.79515,486 CHARLESTON SLS/SVC CENTER      ,58.7
488,00005985 0488,Orkin,26408,39.205852,-80.29416,488 CLARKSBURG                     ,1718.68
490,00005985 0490,Orkin,44130,41.378051,-81.77945,490 PARMA                          ,879.09
491,00005985 0491,Orkin,44141,41.307688,-81.61835,491 CLEVELAND COMMERCIAL           ,471.12
493,00005985 0493,Orkin,95008,37.278843,-121.95446,493 BAY VALLEY PEST CONTROL        ,848.62
497,00005985 0497,Orkin,92276,33.821318,-116.38023,497 ORKIN PALM SPRINGS             ,1491.82
499,00005985 0499,Orkin,19073,39.98451,-75.41265,299 BELTWAY COMMERCIAL REGION      ,852.81
501,00005985 0501,Orkin,60007,42.005978,-87.99847,501 ELK GROVE                      ,1279.22
502,00005985 0502,Orkin,60506,41.766029,-88.35254,502 AURORA                         ,982.36
504,00005985 0504,Orkin,61822,40.126854,-88.29315,504 CHAMPAIGN                      ,2267.89
508,00005985 0508,Orkin,60077,42.033313,-87.75764,508 SKOKIE                         ,1431.89
509,00005985 0509,Orkin,21030,39.477506,-76.64114,509 MARYLAND REGION                ,12362.2
512,00005985 0512,Orkin,60544,41.607624,-88.19736,512 JOLIET                         ,888.68
513,00005985 0513,Orkin,60014,42.226623,-88.33066,513 CRYSTAL LAKE                   ,1862.01
516,00005985 0516,Orkin,61301,41.347117,-89.08974,516 LASALLE                        ,976.24
518,00005985 0518,Orkin,60155,41.857931,-87.85477,518 OAK PARK                       ,180.13
519,00005985 0519,Orkin,60007,42.005978,-87.99847,519 ILLINOIS REGION                ,1148.38
520,00005985 0520,Orkin,60803,41.675861,-87.73189,520 ALSIP                          ,929.94
524,00005985 0524,Orkin,52404,41.947335,-91.68819,524 CEDAR RAPIDS                   ,243.07
526,00005985 0526,Orkin,52806,41.574581,-90.60303,526 DAVENPORT                      ,306.16
527,00005985 0527,Orkin,50322,41.630521,-93.7238,527 WEST DES MOINES                ,292.11
532,00005985 0532,Orkin,68137,41.204631,-96.12108,532 OMAHA                          ,39.92
534,00005985 0534,Orkin,30324,33.818304,-84.35779,OCCC SALES - CHARLOTTE             ,315
536,00005985 0536,Orkin,57049,42.524771,-96.49955,536 SIOUX CITY                     ,973.84
538,00005985 0538,Orkin,50613,42.527184,-92.45609,538 WATERLOO                       ,94.82
539,00005985 0539,Orkin,55344,44.867013,-93.42557,539 IOWA/WISCONSIN REGION          ,501.15
540,00005985 0540,Orkin,21009,39.473899,-76.2983,540 BEL AIR                        ,1431.97
542,00005985 0542,Orkin,30324,33.818304,-84.35779,OCCC CUSTOMER SERVICE              ,517.5
546,00005985 0546,Orkin,55117,44.989065,-93.10666,546 ST PAUL COMMERCIAL             ,346.34
547,00005985 0547,Orkin,48326,42.661129,-83.24571,547 PONTIAC                        ,4235.84
548,00005985 0548,Orkin,48047,42.670932,-82.77754,548 MT CLEMENS                     ,7437.79
551,00005985 0551,Orkin,48820,42.842438,-84.58612,551 LANSING                        ,1784.62
553,00005985 0553,Orkin,49036,41.912776,-85.0142,553 COLDWATER                      ,437.43
554,00005985 0554,Orkin,49002,42.210792,-85.55958,554 KALAMAZOO                      ,2343.74
555,00005985 0555,Orkin,48184,42.276688,-83.3786,555 WAYNE                          ,2076.63
556,00005985 0556,Orkin,48603,43.441975,-84.01177,556 SAGINAW                        ,1272.07
557,00005985 0557,Orkin,43614,41.60135,-83.62611,557 TOLEDO                         ,2302.12
558,00005985 0558,Orkin,46601,41.671197,-86.25253,558 SOUTH BEND                     ,3175.27
559,00005985 0559,Orkin,48820,42.842438,-84.58612,559 MICHIGAN REGION                ,5827.58
560,00005985 0560,Orkin,43229,40.085313,-82.97326,560 COLUMBUS COMMERCIAL            ,868.41
562,00005985 0562,Orkin,44685,40.961206,-81.42516,562 AKRON                          ,3539.95
563,00005985 0563,Orkin,41018,39.013755,-84.60229,563 FLORENCE                       ,137.9
